card_number,card_name,visual_description
10,Wheel Of Fortune,"Central golden wheel with mystical symbols and directional marks surrounded by winged cherubs in soft yellow against pale blue sky. Blue-skinned sphinx figure perched atop wheel wearing striped headdress, holding curved staff. Red demon figure below on right side. Serpent curves along left edge in golden tones. White puffy clouds frame composition. Soft pastel palette with ornate flowing linework, art nouveau decorative borders and organic curved elements throughout ethereal celestial scene."
11,Justice,"Majestic crowned figure in flowing crimson robes with emerald verdant trim, seated on throne between ornate stone pillars. Golden crown adorns pale complexion, sword held upright in left hand, balanced scales in right. Rich burgundy velvet drapery cascades behind, pale yellow sky above. Ornamental architectural framing with soft pastel accents, delicate Art Nouveau flourishes throughout composition, gentle organic linework defining regal silhouette."
12,The Hanged Man,"Inverted male figure suspended from wooden beam with flowing red garments and tan skin tones, positioned upside-down with serene expression surrounded by golden radiant halo. Blue draped fabric billows below, pale cream background. Green ivy tendrils frame composition on left and right sides. Ornate wooden gallows with natural wood tones. Art Nouveau decorative elements include swirling organic lines, soft pastel palette of crimson, sky blue, pale yellow, and sage green with delicate linework throughout."
13,Death,"Skeletal figure in ornate black armor riding white horse, holding banner with roses, elegant feathered plume. Landscape with sunset, blue waters, small figures below. Art Nouveau flowing lines, decorative swirls, pastel tones of cream, gold, and blue accents. Rose emblem on black banner above. Composition balanced with organic curved borders and delicate botanical details throughout."
14,Temperance,"Winged angelic figure in flowing white robes with golden curled hair and radiant halo, pouring water between two ornate golden vessels. Soft pastel background with rolling hills, sunrise, and iris flowers. Red and black feathered wings curve gracefully. Vertical composition with Art Nouveau decorative line work, organic flowing garments, and serene landscape with water below."
15,The Devil,"Horned demonic figure with pink face and curved horns adorned with flowing ribbons, ochre muscled body with raised hand in theatrical gesture. Two nude figures with peachy skin tones stand submissively below, connected by delicate chains. Swirling organic vine patterns frame the composition. Dark background with soft beige accents. Decorative Roman numeral XV at top. Flames in coral and gold tones accent lower corners. Art Nouveau flourishes throughout with graceful, sinuous linework."
16,The Tower,"Tall stone tower with Roman numeral XVI in pale clouds, struck by golden lightning bolt. Two blue-skinned figures with flowing robes tumble downward amid red and orange flames. Gray-white clouds swirl organically around the composition. Black background with golden rain falling. Blue water cascades at tower base. Yellow sun with radiating lines in upper left corner. Art Nouveau decorative elements with curved lines and pastel palette of cream, blue, red, and gold accents throughout."
17,The Star,"Nude woman pouring water into rippling pool, golden blonde hair flowing, peachy skin tones, kneeling by water's edge surrounded by verdant foliage and coral flowers. Luminous yellow central star overhead with eight white stars scattered across pale blue sky. Distant mountains, naturalistic landscape with ornate decorative borders, flowing Art Nouveau linework, soft pastel palette of sky blue, sage green, coral, and gold leaf accents."
18,The Moon,"Crescent moon with serene closed eyes floating in pale blue sky, radiating golden spikes. Two tower pillars frame the composition. Below, ochre dog and pale green jackal leap upward on grassy meadow with flowing organic curves. Red scorpion emerges from water with undulating lines. Scattered golden leaf shapes cascade downward. Soft pastel palette of blues, yellows, greens and earth tones with Art Nouveau decorative flourishes and elegant curved linework throughout."
19,The Sun,"Luminous golden sun face with serene expression radiates wavy rays against pale blue sky. Naked child with flowing hair rides white horse adorned with red feathered mane. Sunflowers with ornate centers frame the composition in soft greens and yellows. Decorative architectural elements and organic flowing lines create ethereal Art Nouveau borders. Warm pastel palette of cream, amber, and coral tones throughout."
20,Judgement,"Winged angel with curled blonde hair and serene masculine face, holding trumpet to lips, draped in flowing robes with decorative patterns. Large crimson cross banner with white sections floats below. Soft grey and white clouds swirl around figure. Below, pale cherubs and nude figures with outstretched arms on water, surrounded by organic wave patterns. Light blue sky background. Roman numeral XX crowns the composition. Pastel palette with flowing Art Nouveau linework and ornamental details throughout."
21,The World,"Nude androgynous figure with flowing auburn hair in graceful contrapposto pose, draped in purple-black fabric sash, holding white wands. Encircled by emerald green serpent with red ribbon binding, adorned with lion, eagle, and bull heads in corners amid soft clouds. Light blue background with ornate flowing Art Nouveau borders, pastel palette of cream and sage accents."
22,Two Of Swords,"Blindfolded figure in flowing white gown seated by tranquil water, holding two crossed swords aloft with graceful arms. Crescent moon glows soft yellow above calm seascape. Sandy beach and distant rocky shores create serene landscape. Pastel blue sky dominates composition with organic curves framing the peaceful scene. Art Nouveau decorative elements enhance the figure's elegant pose and fabric draping."
23,Three Of Swords,"A crimson heart pierced by three ornate swords with flowing curved hilts in pale blue, set against a stormy beige background with sweeping rain streaks. Crescent moon and Gemini symbol float above. Dramatic arching clouds frame the composition with Art Nouveau organic flourishes and delicate linear rain patterns throughout."
24,Five Of Swords,"Recumbent armored figure in pale gold with one raised hand, lying on layered ground with flowing organic contours. Three tall swords with ornate hilts stand upright in soft beige background. One sword lies horizontally in foreground. Upper left panel displays vibrant stained glass pattern with red, blue, yellow, black tessellations. Soft peachy-gray tones with decorative Art Nouveau flourishes throughout composition."
25,Five Of Swords,"A red-haired warrior in green tunic and red leggings holds an ornate sword upright, with flowing organic curves in his stance. Two smaller figures in muted yellow and gold stand dejected below. Five swords arranged diagonally across sandy ground with gentle Art Nouveau flourishes. Stormy gray clouds with sweeping lines drift across pale blue sky. Soft pastel palette of sage green, dusty rose, cream, and sky blue dominates composition with decorative border framing."
26,The Lovers,"Two figures in flowing Art Nouveau poses beside water, one standing with raised arm holding instrument, the other seated in golden robes. Ornate wooden dock with decorative posts extends across composition. Pale blue water with gentle waves, soft pastel sky, organic curved lines framing the scene, delicate botanical details in distant landscape, warm golden and soft blue color palette throughout."
27,Seven Of Swords,"Kneeling figure with red cap and dark curled hair, holding multiple blue swords with ornate crossguards arranged in fan formation behind shoulders. Soft yellow background with pastel blue boots and earthy tan robes. Decorative flowing Art Nouveau curves frame the composition. Ground depicted with geometric patterns and muted earth tones. Elaborate sword hilts with spherical pommel details create rhythmic vertical lines throughout the ethereal scene."
28,Eight Of Swords,"Blindfolded figure in flowing crimson gown wrapped with pale ribbons, surrounded by eight tall swords with ornate blue spheres, standing in marshy landscape with water pooling below, soft peachy sky background, Art Nouveau curved lines adorning the sword hilts and figure's elegant pose, pastel earth tones blending with deep red fabric and cool blue accents throughout composition"
29,Nine Of Swords,"Weeping figure in flowing white robes bent in anguish, raised hand to face, warm ochre and terracotta fabrics draped gracefully. Nine ornate blue swords with decorative hilts extend horizontally above in parallel lines against deep black background. Ornamental patterned quilt with crimson roses and pale blue tiles adorns figure's lap. Soft curved Art Nouveau flourishes frame composition with pastel palette of cream, powder blue, muted gold accents."
30,Ten Of Swords,"Ten blue swords piercing through pale figures with spherical heads arranged in graceful Art Nouveau composition. Flowing organic lines form the sword handles. Reclining figure below with delicate posture. Soft pastel palette of pale blue, cream, and muted earth tones. Layered background transitioning from deep charcoal sky to sandy ground. Decorative swirling patterns and natural curves throughout the entire scene."
31,King Of Swords,"Regal masculine figure seated on throne wearing golden crown and red draped robes with flowing organic lines, holding upright sword with graceful curved handle. Light blue sky background with soft clouds, ornate decorative tapestry behind featuring crescent moons and celestial motifs. Pastel color palette of pale blue, soft red, muted purples, cream accents. Flowing fabric with Art Nouveau curves, delicate landscape elements below with stylized trees and ground. Intricate linework throughout with Mucha's characteristic elegant ornamentation and decorative borders."
32,Queen Of Swords,"Regal figure seated on ornate throne with scrolling decorative armrests, wearing golden crown and flowing robes with red and blue accents. Holding upright sword with graceful hand gesture. Pale blue sky background with soft white clouds. Ornamental throne base features cherub face and intricate patterns. Red fabric draping at sides. Delicate organic Art Nouveau linework throughout composition. Pastel color palette of cream, soft blue, rose tones with black outlines. Serene, ethereal quality with classical elegance."
33,Knight Of Swords,"Armored knight in flowing red cape riding galloping horse across windswept landscape, holding raised sword with ornate hilt. Blue sky with wispy white clouds, sandy terrain below. Horse with determined expression, decorative bridle and armor. Knight wears ornate helmet and breastplate with art nouveau flourishes, golden accents on armor. Swirling organic lines in cape fabric, feathered cloud forms, delicate pastel palette of cream, soft blue, deep red, and golden tones. Baroque-inspired composition with dynamic diagonal movement."
34,Page Of Swords,"Young figure with flowing auburn hair in burgundy tunic and yellow leggings, holding upright sword against light blue sky. Billowing white clouds frame the composition with organic, swirling forms. Red boots ground the elegant pose. Flying birds dot the heavens. Soft pastel palette of cream, sage green, and coral tones. Art Nouveau flowing lines and decorative details throughout. Horizontal landscape with ethereal cloud masses creating natural frames."
35,Ace Of Swords,"Ethereal hand emerging from swirling cloud with ornate decorative flourishes, grasping vertical sword with golden crown featuring organic leaf garlands cascading downward, pale blue blade gleaming, yellow falling leaves scattered throughout composition, soft peachy beige background, rolling landscape silhouette below, Art Nouveau flowing curves and pastel palette with luminous radiance around central figures"
36,The High Priestess,"Elegant figure in crimson robes and red headdress, holding green orb, flanked by two ornamental red staffs with fleur-de-lis tops. Soft pastel background with blue water, green landscape, and stone archway. Art Nouveau flowing lines frame the composition with decorative flourishes, organic curves in clothing folds, delicate hand gestures. Serene landscape vista behind columned portal."
37,The Empress,"A regal figure in flowing crimson and emerald robes stands centered among four ornate staffs topped with fleur-de-lis crowns. Soft pale yellow background with art nouveau decorative patterns adorning each staff. Rich earth tones ground the composition while delicate organic flourishes frame the figure. Pastel sage greens and warm peachy tones accent the base, creating elegant curved lines throughout the entire scene."
38,Four Of Wands,Four tall red wands with ornate black tops and flowering vines adorning them against pale yellow background. Medieval stone castle with red-tipped turrets in soft gray. Woman in flowing blue and red robes stands centrally with graceful posture. Small figures in period dress scattered at castle base. Lush green foliage cascades between wand tops. Soft pastel tones with art nouveau curvilinear details and organic botanical elements framing the composition.
39,Five Of Wands,"Five figures in flowing period garments with ornate decorative details, grappling around tall red-brown wands with organic branching tops. Clear cerulean sky background, earthy brown-green ground. Yellow, red, and cream-colored fabrics with Art Nouveau flourishes. Intertwined composition with graceful curved lines, pastel tones of cream, sage green, and dusty rose accents. Ornamental borders and delicate embellishments throughout."
40,The Six Of Wands,"A noble figure in flowing crimson cape and ornate armor sits upon a white horse, wearing a leafy crown. Seven wooden wands with fleur-de-lis tops surround the composition with organic, curved lines. One wand holds a wreath of laurel leaves. Pastel blue sky dominates the background, with soft sage green ground. Decorative botanical elements and swirling fabric create graceful Art Nouveau movement throughout the scene."
41,Seven Of Wands,"A muscular man in sage green tunic wielding an upright wooden staff decorated with organic leaf flourishes, surrounded by six ascending rods with budding sprouts, pale blue sky background with art nouveau flowing curves, warm terracotta and golden tones, dynamic diagonal composition with ornamental botanical details and decorative linework throughout"
42,Eight Of Wands,"Eight golden wands with ornate decorative knots diagonal across pale blue sky, flowing organic flourishes along each staff, pastoral landscape below with gentle rolling hills, verdant green meadows, sinuous river curves, soft pastel blue background, Art Nouveau swirling details, warm amber and copper tones on wands contrasted with cool sky, ethereal movement suggested through diagonal composition, delicate nature elements scattered across terrain."
43,Nine Of Wands,"Young man with muscular build in terracotta tunic and cream leggings, white headband, holding wooden staff with organic leaf crowns. Nine tall ornate staffs with budding foliage surround him in vertical composition. Soft sky blue background with pale yellow-green ground. Art Nouveau flowing lines, decorative armor details, curling botanical elements on staffs. Pastel palette of burnt orange, cream, sage green, and azure. Graceful posture with classical proportions and elegant ornamentation."
44,Ten Of Wands,"A figure in flowing crimson robes holds ten wooden staffs blooming with leafy sprouts, arranged in a radiating fan. Golden skin tones contrast against pale face. Light blue sky backdrop with soft green landscape and distant buildings. Art Nouveau ornamental details, curved organic lines, peachy and sage pastel palette, decorative composition with graceful posture and swirling fabric."
45,King Of Wands,"Regal male figure seated on ornate throne wearing golden crown and flowing red robes with green underdress, holding blossoming wooden wand with climbing vines. Decorative tapestry backdrop with lion motif in warm ochre tones. Pale blue sky background, ornamental architectural framing with Art Nouveau flourishes, delicate botanical scrollwork borders, soft pastel palette of cream, sage green, crimson and gold leaf accents."
46,Queen Of Wands,"Regal woman in flowing yellow gown with ornate crown, holding decorative staff with blooming vine details. White feathered collar frames her face. Red lion heraldry adorns tapestry behind. Sunflower held in graceful hand. Twin lion armrests flank throne. Black cat sits at base. Soft pastel blue background with art nouveau flourishes, organic curves throughout composition, gentle earth tones and golden accents."
47,Knight Of Wands,"Armored knight on rearing chestnut horse, holding blooming wand staff with organic branches, wearing yellow tunic with black lion motifs and blue armor plates, red feathered plume in ornate helmet, flowing red cape, desert landscape with golden dunes below, pale blue sky background, Art Nouveau decorative swirls framing the composition with pastel earth tones and delicate linework throughout."
48,Page Of Wands,"Young masculine figure in profile wearing feathered hat and ornate patterned tunic with flowing golden cape, holding tall wooden staff with sprouting branches and leaves, standing in desert landscape with soft blue sky, warm earth tones, art nouveau decorative swirls and organic botanical details throughout composition"
49,Ace Of Wands,"A pale hand emerges from swirling clouds holding a vertical wooden wand with red-orange grain patterns and decorative linear details. Green leaves sprout from the wand's top with delicate flourishes. Scattered emerald leaves float around the composition. Soft gray clouds curl with Art Nouveau organic spirals. Luminous radiance emanates behind the hand. Verdant landscape with gentle hills and blue water below. Cream background. Flowing, elegant linework throughout with pastel earth tones and muted palette."
50,The Gemini,"Two figures in flowing robes exchange golden cups beneath a caduceus crowned with a winged lion's head, soft pastel blue sky background, Art Nouveau ornamental borders, swirling organic ribbons, delicate laurel wreaths, gentle sand-colored ground, decorative curves framing the composition, ethereal peachy and sage tones, intricate line work, graceful elongated proportions, celestial gemini symbol above, harmonious bilateral symmetry"
51,Three Of Cups,"Three elegant figures with curled hair in flowing Art Nouveau poses, holding golden chalices aloft against pale blue sky. Rich crimson robes with ornamental black linear patterns drape gracefully with organic curves. Peach and cream skin tones, decorative vine-like details adorning garments. Sandy ground scattered with stylized fruits and botanical elements in muted greens and oranges. Soft pastel background with delicate linear flourishes characteristic of Mucha's ornamental style."
52,Four Of Cups,"Young man with dark hair seated beneath gnarled tree, wearing sage green and crimson tunic. Four golden chalices arranged around grassy meadow floor. Fifth cup held aloft by ethereal hand emerging from clouds above. Soft cerulean sky background, organic oak leaves framing composition top. Flowing Art Nouveau curves throughout, pastel earth tones with gold accents, delicate linework defining medieval garden setting."
53,The Hierophant,"Solitary robed figure with wavy dark hair adorned with orange band, standing in flowing black cloak with ornamental details. Golden cups and chalices arranged at feet on sandy ground. Lush green landscape with winding blue stream and distant structures. Pale mauve sky. Art Nouveau composition with organic linework, soft pastel tones of cream, sage green, and muted gold accents. Decorative botanical elements and flowing drapery throughout elegant frame."
54,The Lovers,"A figure in crimson robes with flowing fabric interacts with a child in blue garments within a medieval stone courtyard. Golden castle towers with ornate peaked roofs frame the scene. Four large decorative vessels with flowering plants and white stars occupy the foreground. Soft pastel palette of cream, light blue, and terracotta. Organic Art Nouveau flourishes frame the architectural elements. Clear light blue sky dominates the background with intricate linework detailing the stonework and botanical elements throughout."
55,Seven Of Cups,"Silhouetted figure gazing upward at seven ornate golden chalices floating amid swirling clouds. Top chalices contain curled serpent, crowned maiden with ringlets in pastel blue, and jeweled goblet. Lower vessels hold crystalline tower, glowing gems and pearls, verdant wreath, and mysterious skull. Soft pale clouds billow throughout composition. Sky rendered in delicate blue-grey tones with art nouveau flowing curves and decorative botanical swirls framing the vessels."
56,The Moon,"Serene crescent moon with closed eyes and peaceful expression in soft yellow against pale blue sky. Figure in flowing red robe with decorative black hair ornaments stands between dark rocky cliffs. Eight golden chalices arranged in graceful rows with ornamental stems, set upon sandy ground. Turquoise water flows gently, green-tinted vegetation frames composition. Soft pastel palette with Art Nouveau flowing organic lines and decorative flourishes throughout landscape."
57,Nine Of Cups,"Seated figure with red hat and orange face in flowing striped robes, arms crossed, centered against bright yellow background. Nine golden chalices arranged in semicircle behind, ornate with decorative stems. Pale blue-grey architectural backdrop with vertical linear patterns. Pastel yellow ground. Art Nouveau flowing composition with organic curved lines, ornamental details throughout."
58,Ten Of Cups,"Ethereal Art Nouveau composition with flowing golden chalices arranged in graceful arc above pastoral landscape. Two adult figures with elegant decorative robes embrace beneath ornamental canopy, children playing in soft green meadow below. Soft pastel palette of pale blue sky, sage green grass, cream earth tones, rose pink accents. Organic curved lines frame peaceful countryside with cottage, flowing river, blooming flora. Delicate linework and swirling decorative elements throughout composition."
59,King Of Cups,"Regal male figure seated on ornate throne wearing jeweled crown with red and gold details, lime-green flowing cape with decorative scrollwork, light blue robes with intricate patterning. Holding golden chalice in one hand and ornamental staff in the other. Soft pastel background with swirling waves in blues and greens at base. Circular halo behind figure, elaborate Art Nouveau flourishes throughout composition with organic curved lines and delicate filigree detailing."
60,Queen Of Cups,"Elegant woman seated on ornate throne wearing golden crown and white flowing gown, holding jeweled chalice. Delicate cherubs frame the canopy above. Soft pastel blue sky background, pale pink and mauve architectural elements. Swirling water patterns at base with scattered gemstones in warm gold and coral tones. Art Nouveau decorative borders with organic curved lines, gentle composition with graceful poses and ornamental details throughout."
61,Knight Of Cups,"Armored knight in ornate plate armor with flowing winged helmet atop rearing horse, holding golden chalice aloft. Intricate red and blue decorative patterns on breastplate, swirling organic lines adorning armor. Pale pastel blue sky backdrop, sandy desert terrain below with winding blue stream. Dramatic rocky formations in warm ochre and burnt orange. Graceful horse with flowing mane, both figure and steed composed in elegant Art Nouveau composition with decorative swirls and ethereal quality throughout."
62,Unknown,ERROR
63,Ace Of Cups,"Ornate chalice overflowing with golden liquid, emerging from calm waters scattered with lotus flowers and lily pads. Winged dove descends above, cross-topped orb glowing softly. Elegant hands emerge from flowing clouds on either side, gesturing gracefully. Pastel beige background with art nouveau swirling foliage, soft green water below, delicate decorative borders framing composition with organic curves and natural flowing lines throughout."
64,The Juggler,A figure in a tall red pointed hat and earth-toned tunic juggles two golden orbs with five-pointed stars in flowing vine-like ribbons. Red stockings and green shoes ground the composition. Light blue sky background with stylized waves at base. Organic curved lines frame the figure with decorative circular motifs and delicate botanical elements in soft pastels and warm terracotta tones.
65,Three Of Pentacles,"Two robed figures in gothic archway with flowing garments in coral and blue tones, facing pentacle symbols above, ornate stone columns with organic curved lines, three white pentacles arranged in triangle formation overhead, pastel background with decorative architectural details, Art Nouveau flourishes framing composition, medieval chamber setting with soft peachy and lavender accents, intricate linework throughout"
66,Four Of Pentacles,A robed figure with ornate crown holding golden pentacle stars adorned with flowing red fabric drapes and decorative swirls. Two five-pointed stars rest at feet on soft golden circles. Medieval cityscape with ornate architecture frames the background in muted earth tones. Pastel cream sky. Art Nouveau decorative borders frame composition with organic botanical flourishes and graceful curved lines throughout.
67,Five Of Pentacles,"Two figures in tattered robes beneath a stained glass window displaying five golden pentagram stars with vine ornaments. Snow-covered ground in soft whites and pale blues. Rich jewel-toned window frame with red, blue, and green details. Figures rendered in warm terracottas and sage greens with flowing Art Nouveau linework. Dark starry night sky surrounding ornate architectural frame. Delicate organic vines and flowing decorative borders framing composition."
68,Six Of Pentacles,"Bearded figure in flowing burgundy robes with ornate detailing, holding balanced scales, dispensing coins to two kneeling supplicants in soft yellow and blue garments. Six golden pentacle circles arranged symmetrically around the composition against pale lavender background. Organic Art Nouveau flourishes frame the scene, with decorative botanical elements and sweeping curved lines emphasizing graceful movement and balance throughout the composition."
69,Thirteen Of Pentacles,"Young man with dark wavy hair in golden-orange tunic and blue sleeves, leaning on wooden staff, surrounded by climbing vine with six glowing yellow pentacle coins adorned with flowing green leafy tendrils, soft pastel background in cream and dusty rose, Art Nouveau decorative borders with organic curves, earth tones blending into cool blues, intricate linear hatching, ethereal garden setting with delicate botanical flourishes"
70,Eight Of Pentacles,"Craftsman seated on wooden bench wearing flowing blue tunic and red leggings, dark curly hair, holding chisel and hammer carving pentacle coins. Six glowing yellow pentacles with black stars arranged vertically on ornate wood-grain pillar, one pentacle on ground. Pale cream background, delicate organic scrollwork borders, warm earth tones, soft pastel highlights, decorative Art Nouveau flourishes throughout composition."
71,Nine Of Pentacles,"Woman in flowing cream and crimson robe with ornate pentacle embroidery, red hat with feathered crown, holding a falcon with decorated perch. Surrounded by lush grapevines with dark berries, golden pentacle coins arranged at her feet, topiary trees flanking composition, bright yellow background with Art Nouveau curves and flourishes, pastel tones with deep burgundy accents, organic decorative border elements."
72,Ten Of Pentacles,"Elegant figures in flowing red garments adorned with ornamental details stand in a walled garden beneath a clear blue sky. Ten golden pentacle circles with black stars float throughout the composition. Medieval stone tower and buildings frame the background. White dog at foreground, lush green foliage and grapevines with rich textures below. Soft pastel palette of cream, pale blue, sage green, coral red with art nouveau curved linework and decorative botanical elements framing the scene."
73,King Of Pentacles,"Bearded male figure in ornate red and black patterned robes seated on throne with twin goat heads, holding golden pentacle and staff, wearing jeweled crown with red roses, surrounded by flowing ivy vines and blue water, castle tower and stone architecture in background, golden yellow sky, pentacle symbol glowing in hands, decorative botanical elements with soft pastel accents, Art Nouveau flourishes with organic curved lines throughout composition."
74,Queen Of Pentacles,"A regal woman in flowing red and striped garments seated before an ornate stone archway, holding a golden pentacle coin. She wears an elaborate crown adorned with red jewels and flowing green drapery. Lush vines with red roses frame the composition against a luminous yellow sky. Pastoral landscape with blue water and flowering meadows in background. Decorative Art Nouveau borders with organic foliage, pastel tones blending gold, crimson, emerald, and cream."
75,Knight Of Pentacles,"Armored masculine figure on rearing black horse against luminous yellow sky, holding glowing pentacle star within circular frame. Blue and silver armor with ornate details, flowing red cloak draped elegantly. Black horse adorned with red decorative tassels and harness. Rolling terrain below with soft green and rust tones. Art Nouveau swirling organic lines frame composition with pastel yellow background, intricate botanical flourishes in corners, classical Renaissance landscape elements blended with decorative flowing curves."
76,Page Of Pentacles,"Young figure with flowing red hair adorned in emerald tunic and draped fabrics, holding glowing pentacle star in raised hand. Soft pastel yellow sky background, gentle rolling landscape with delicate trees and wildflowers below. Ornate art nouveau composition with graceful curves, decorative borders framing the scene in luminous golds and soft greens. Ethereal quality with organic flourishes."
77,Ace Of Pentacles,"Ethereal hand emerging from ornate curling clouds holding radiant golden pentacle coin with five-pointed star, soft pastel lavender background, decorative flowing scrollwork, lush garden landscape below with dark foliage and delicate white flowers, gentle blue water, Art Nouveau organic curves and botanical flourishes throughout composition"
